ID,Theme,Question_English,Question_RomanUrdu,Short_Answer_English,Detailed_Answer_English,Risk_Level,Source,Helpline
KB0001,Menstruation & Hygiene,What is menstruation?,What is menstruation ?,Menstruation is a natural monthly process when the uterus sheds its lining. It usually starts during puberty and lasts 3â€“7 days.,Menstruation is a natural monthly process when the uterus sheds its lining. It usually starts during puberty and lasts 3â€“7 days. For more details consult a health professional or the provided helplines.,Info,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0002,Menstruation & Hygiene,Why do I get period cramps?,Why kya mujhe get period cramps ?,"Cramps are caused by the uterus contracting to expel its lining. Warm packs, rest, and paracetamol help reduce pain.","Cramps are caused by the uterus contracting to expel its lining. Warm packs, rest, and paracetamol help reduce pain. For more details consult a health professional or the provided helplines.",Caution,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0003,Menstruation & Hygiene,How often should I change my pad?,How often kya mujhe change my pad ?,"Change sanitary pads every 4â€“6 hours. Using clean, dry cloths and drying them in sunlight reduces infection risk.","Change sanitary pads every 4â€“6 hours. Using clean, dry cloths and drying them in sunlight reduces infection risk. For more details consult a health professional or the provided helplines.",Info,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0004,Menstruation & Hygiene,Can I bathe during my period?,Can I bathe during my period ?,"Yes, bathing keeps you clean and can relieve discomfort. Mild soap and water are sufficient.","Yes, bathing keeps you clean and can relieve discomfort. Mild soap and water are sufficient. For more details consult a health professional or the provided helplines.",Caution,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0005,Menstruation & Hygiene,Is period blood dirty?,Is period blood dirty ?,No. Menstrual blood is normal body fluid and not 'dirty'. Good hygiene prevents infections.,No. Menstrual blood is normal body fluid and not 'dirty'. Good hygiene prevents infections. For more details consult a health professional or the provided helplines.,Caution,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0006,Menstruation & Hygiene,What to do if bleeding is very heavy?,What to do if bleeding is very heavy ?,Seek medical attention if you soak a pad every 1-2 hours or pass large clots; heavy bleeding may need treatment.,Seek medical attention if you soak a pad every 1-2 hours or pass large clots; heavy bleeding may need treatment. For more details consult a health professional or the provided helplines.,Info,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0007,Menstruation & Hygiene,Can I play sports during periods?,Can I play sports during periods ?,"Yes, light to moderate exercise is fine and can reduce cramps. Rest if you feel very weak.","Yes, light to moderate exercise is fine and can reduce cramps. Rest if you feel very weak. For more details consult a health professional or the provided helplines.",Caution,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0008,Menstruation & Hygiene,What to use if I don't have pads?,What to use if I don't have pads ?,"Use clean, well-washed cloths and dry them completely in sunlight. Avoid damp or dirty materials.","Use clean, well-washed cloths and dry them completely in sunlight. Avoid damp or dirty materials. For more details consult a health professional or the provided helplines.",Info,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0009,Menstruation & Hygiene,How long do irregular periods last?,How long do irregular periods last ?,Irregular cycles can be normal for the first 2â€“3 years after they start; consult a doctor if absent for 3 months.,Irregular cycles can be normal for the first 2â€“3 years after they start; consult a doctor if absent for 3 months. For more details consult a health professional or the provided helplines.,Info,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
KB0010,Menstruation & Hygiene,Can I swim during my period?,Can I swim during my period ?,"Yes, use tampons or menstrual cups for swimming; pads are not suitable for swimming.","Yes, use tampons or menstrual cups for swimming; pads are not suitable for swimming. For more details consult a health professional or the provided helplines.",Caution,WHO; UNICEF; Local studies; SnehAI; Sehat Kahani,Madadgaar Helpline: 1098 (Madadgaar); Cybercrime / FIA: 1099 (FIA cybercrime); Sehat Kahani: https://sehatkahani.com/; WHO STI Fact Sheet: https://www.who.int/news-room/fact-sheets/detail/sexually-transmitted-infections-(stis); UNICEF MHM: https://www.unicef.org/innovation/U-Report/menstrual-hygiene-polls-pakistan; Marie Stopes Pakistan: https://mariestopespk.org/
